50000;0,0003520000;0,0003989000;
60000;0,0003892667;0,0006611000;
70000;0,0004549000;0,0012567667;
80000;0,0007869667;0,0011036667;
90000;0,0006063667;0,0012744667;
100000;0,0007753333;0,0011979333;
110000;0,0007939000;0,0009318333;
120000;0,0008258000;0,0010998000;
130000;0,0008937667;0,0013494333;
140000;0,0009941333;0,0014565333;
150000;0,0010663000;0,0016035333;
160000;0,0011028333;0,0016296000;
170000;0,0012059333;0,0019280667;
180000;0,0012810333;0,0019319000;
190000;0,0014462667;0,0027661333;
200000;0,0014787000;0,0024850333;
